lda1,lda2,label
-1.54219788,0.544445461,0
-1.615161072,-0.665763955,1
-2.063591549,-0.179254747,1
-1.375486087,-2.017836062,3
2.410840771,0.174597453,2
3.307422651,-1.302679667,2
-1.094512892,-2.98114621,3
4.662118035,-1.230301659,2
3.057879565,0.370455721,2
0.015701955,0.769220144,1
-1.414288358,2.574728664,0
-2.990886852,2.540166528,0
-2.45828665,1.999594862,0
3.686176264,0.104752979,2
-1.774627687,-3.418943663,3
-1.12869688,1.546305887,1
5.573900437,1.434674941,2
-1.249122111,0.194913184,1
-1.240536201,-0.271244336,1
0.080336184,2.825200644,0
-2.975545441,-1.760049487,1
-0.873530678,1.357865861,0
2.225736361,-1.386670033,2
-1.635771544,-2.289579092,3
-1.436872701,-4.007265381,3
2.194283059,-0.334142316,2
-1.880105889,-2.772316129,3
2.319762093,0.033444322,2
-0.634879166,1.334240799,1
-2.030983841,2.139806435,0
0.600534875,-0.101221438,0
-1.246194093,2.276248764,0
3.328956305,0.56332383,2
-0.88290347,-1.910551417,3
3.499698514,0.722096553,2
4.862756984,0.461966918,2
-1.992442734,1.330030323,1
4.375648217,-1.1454085,2
-1.112585115,2.307220886,0
3.218123412,0.447226249,2
-1.489225928,1.03208439,1
-2.046822869,-3.988551845,3
-0.277545178,1.049917203,0
-1.329431829,-4.196525489,3
3.248556698,0.332564484,2
-0.819847014,-3.040540333,3
-0.722429986,-2.32153817,3
-1.31007703,0.136347867,1
-0.540757235,-1.378975873,3
3.620690232,-1.510058439,2
-1.43245556,1.298988807,1
3.870921784,-0.278397849,2
3.52982093,-0.446830361,2
-1.994764621,2.81500985,1
5.057266648,0.510441524,2
-1.151691186,1.749526738,0
3.763523087,-0.893330928,2
5.016987587,-0.761081783,2
-1.381368345,-3.266049545,3
-1.118221036,2.644289268,0
-2.569136085,-3.318546622,3
1.674111148,-0.024926316,2
4.857441535,-0.710484156,2
4.579030055,0.333137337,2
5.274354961,0.529342256,2
-1.128342014,2.278192564,0
-0.475926743,2.066166505,0
2.791260418,-0.604807334,2
-1.416065537,1.959821038,1
-1.727464238,0.072323062,0
-3.765943956,1.677332287,1
-0.092313795,0.67659679,1
-0.986564196,1.994989988,0
-0.588933714,-2.96103032,3
-1.770925397,-0.976449722,3
-2.037753496,2.875966933,1
-0.806061674,0.263153926,1
-1.371837262,-0.324350941,0
4.391339306,0.56570487,2
-2.483120151,1.287449172,0
-3.5459045,-3.689864418,3
-1.778946069,3.697009476,1
3.07121833,-1.050877229,2
3.270239422,1.425165305,2
-1.571655858,0.005345504,0
-1.651297722,1.128841761,1
3.259628048,-0.355514136,2
-1.232516003,0.711474007,1
-1.482800221,0.860526535,0
-0.74142646,-0.17716072,1
-0.978162273,-0.46622158,1
-1.137934796,1.219399914,0
-2.494040407,0.993485562,0
2.408194918,0.576526748,2
-2.218825802,1.680911774,1
-0.393501793,1.057853173,0
3.941397579,-0.512747708,2
-1.323286425,1.10532616,0
3.913520193,-0.682998745,2
4.8940749,0.456424896,2
4.488010984,1.700595482,2
-2.200116185,1.26000541,0
-3.789734139,-3.288899569,3
3.916078564,-0.588034211,2
1.898420692,-0.033210837,2
3.468283327,0.942787955,2
-1.608441509,2.558846894,0
-1.622810523,1.591317463,0
-2.523658839,2.244603777,0
-1.133730318,2.166673453,0
5.00684554,0.185196477,2
-1.424099231,2.242947795,0
4.983949123,-0.11197619,2
-2.205832854,-3.749962666,3
1.750685711,-3.292807125,3
-1.505379933,1.350236448,1
-2.364416592,-3.795978579,3
-1.818035867,1.317456985,1
3.423663162,-1.404073941,2
-3.13134026,-3.453663501,3
4.172849516,-0.039856534,2
-3.364973286,-3.001564262,3
-1.653735663,0.80404862,1
-0.587898489,1.082232453,1
-3.097939124,-2.060466945,3
-1.454459597,-1.834370008,3
-2.285591829,1.410449305,0
-3.077411187,0.256661464,3
-1.887138332,1.563527734,1
-2.044581729,-3.388716713,3
-1.697387004,-4.55920024,3
-2.733497169,2.329115146,0
-2.105013883,4.31481227,0
3.533693296,-1.103767129,2
-1.48931955,-3.419331886,3
-1.998246408,1.517277147,1
-0.28885028,1.652247115,1
4.045438534,-0.629194406,2
-0.526357644,2.515492446,0
-1.336177951,1.629659667,1
-1.713769527,-3.683771482,3
4.682326738,-1.174816782,2
-2.025250546,-1.153942416,1
-1.695490882,0.085075882,1
5.378795154,-1.231791598,2
4.6218619,0.826867408,2
-0.210478511,0.772593277,0
-1.69071457,1.753855388,0
-2.172565096,-1.970291881,3
-1.440587592,0.801848211,1
-0.636534483,2.952524637,0
-1.598784303,0.83459475,1
2.317495996,2.021753243,2
4.110865749,-2.468155443,2
4.21248685,-1.683629522,2
3.457431944,1.874105761,2
-2.975470315,-5.464128249,3
5.077172257,0.864567873,2
-2.221387244,-2.63087899,3
-0.790053194,1.49566076,1
-1.601219387,-3.24004368,3
4.187481034,1.284617139,2
-2.266475612,-2.759186566,3
-0.273426743,0.784147473,0
-0.80954962,1.780728903,1
-1.558888332,-0.752303464,3
3.757274658,-0.101864462,2
5.306175669,0.017623944,2
-2.027425424,-4.337463295,3
4.517014894,0.851277628,2
-1.297211662,1.865533083,1
-1.566494831,1.290713518,0
6.424813803,-1.208225332,2
-2.234905086,1.393171794,1
-1.847833652,-4.169689638,3
-2.358081464,-3.496313692,3
-0.305164656,-2.038830971,3
3.385817474,-2.237694754,2
-1.638588747,1.374817816,1
-1.154623869,0.987289324,1
3.064425627,1.018018413,2
4.699381216,0.522375094,2
-2.263527009,-2.102538083,3
1.368163235,1.708476972,1
-1.476086914,0.686925634,1
